Üniv. Sıra,Tür,Üniversite,Genel Puan,Öğr.Den. Puan (Sıra),Yerleşke Puan (Sıra),Akad.Des. Puan (Sıra),Yönetim Puan (Sıra),Öğr.İmk. Puan (Sıra),Kariyer Puan (Sıra)
1,Devlet,İzmir Yüksek Teknoloji Enstitüsü,532,91 (1),90 (4),82 (6),91 (1),89 (5),89 (1)
2,Devlet,Abdullah Gül Üniversitesi,520,88 (3),82 (16),84 (2),90 (2),88 (7),88 (2)
3,Devlet,Ege Üniversitesi,510,83 (7),88 (5),84 (3),85 (3),92 (2),78 (11)
4,Devlet,Yıldız Teknik Üniversitesi,508,89 (2),92 (2),83 (5),64 (31),93 (1),87 (3)
5,Devlet,İstanbul Teknik Üniversitesi,492,86 (4),87 (6),81 (8),70 (22),88 (8),80 (6)
6,Devlet,Galatasaray Üniversitesi,489,73 (25),93 (1),84 (4),79 (7),81 (20),79 (8)
7,Devlet,Erciyes Üniversitesi,479,77 (13),85 (9),76 (16),81 (6),85 (12),75 (18)
8,Devlet,Çanakkale Onsekiz Mart Üniversitesi,475,79 (11),84 (12),82 (7),77 (9),86 (10),67 (41)
9,Devlet,Gebze Teknik Üniversitesi,475,74 (23),80 (21),85 (1),74 (12),81 (21),81 (5)
10,Devlet,Süleyman Demirel Üniversitesi,468,77 (14),81 (19),76 (17),84 (4),77 (29),73 (22)
11,Devlet,Ordu Üniversitesi,461,66 (49),85 (10),80 (9),76 (11),75 (39),79 (9)
12,Devlet,Konya Teknik Üniversitesi,458,70 (34),75 (40),78 (13),79 (8),83 (16),73 (23)
13,Devlet,Hacettepe Üniversitesi,458,73 (26),77 (34),71 (29),73 (14),86 (11),78 (12)
14,Devlet,Bartın Üniversitesi,457,68 (38),80 (22),74 (22),83 (5),82 (19),70 (31)
15,Devlet,Akdeniz Üniversitesi,457,74 (24),87 (7),67 (44),73 (15),80 (23),76 (16)
16,Devlet,Muğla Sıtkı Koçman Üniversitesi,454,75 (21),81 (20),78 (14),77 (10),78 (24),65 (48)
17,Devlet,Ankara Üniversitesi,452,81 (9),67 (74),75 (19),58 (43),91 (4),80 (7)
18,Devlet,Orta Doğu Teknik Üniversitesi,450,82 (8),80 (23),72 (27),55 (48),85 (13),76 (17)
19,Devlet,Ankara Yıldırım Beyazıt Üniversitesi,443,81 (10),78 (27),79 (11),57 (45),81 (22),67 (42)
20,Devlet,Sağlık Bilimleri Üniversitesi,441,64 (54),67 (75),79 (12),73 (16),71 (52),87 (4)
21,Devlet,Mersin Üniversitesi,440,68 (39),80 (24),72 (28),70 (23),78 (25),72 (26)
22,Devlet,Çukurova Üniversitesi,439,79 (12),86 (8),71 (30),57 (46),77 (30),69 (35)
23,Devlet,Türk-Alman Üniversitesi,438,76 (17),82 (17),67 (45),69 (26),77 (31),67 (43)
24,Devlet,Sakarya Üniversitesi,438,77 (15),75 (41),80 (10),58 (44),78 (26),70 (32)
25,Devlet,Bursa Uludağ Üniversitesi,432,65 (51),82 (18),58 (72),72 (18),83 (17),72 (27)
